22:49:12.614,->,ID,DLC,,,,DATA,,,,
22:49:12.648,->,540,8,2,0,0,4,11,0,2,A3
22:49:12.648,->,541,8,2,0,0,0,0,0,0,1E
22:49:12.681,->,540,8,4,0,0,0,0,0,D,0
22:49:12.714,->,550,8,10,0,0,0,0,0,0,90
22:49:12.747,->,540,8,6,0,0,0,0,0,0,0
22:49:12.781,->,550,8,10,0,0,0,0,0,0,B0
22:49:12.781,->,540,8,2,0,0,4,11,0,2,A3
22:49:12.813,->,550,8,10,0,0,0,0,0,0,D0
22:49:12.847,->,540,8,6,0,0,0,0,0,0,0
22:49:12.880,->,550,8,10,0,0,0,0,0,0,30
22:49:12.913,->,540,8,2,0,0,4,11,0,2,A3
22:49:12.913,->,540,8,6,0,0,0,0,0,0,0
22:49:12.946,->,450,8,0,0,0,0,0,0,B,0
22:49:12.979,->,550,8,10,0,0,0,0,0,0,70
22:49:13.012,->,540,8,2,0,0,4,11,0,2,A3
22:49:13.012,->,540,8,6,0,0,0,0,0,0,0
22:49:13.046,->,450,8,0,0,0,0,0,0,B,0
22:49:13.079,->,550,8,10,0,0,0,0,0,0,B0
22:49:13.112,->,541,8,2,0,0,0,0,0,0,1E
22:49:13.145,->,540,8,6,0,0,0,0,0,0,0
22:49:13.145,->,450,8,0,0,0,0,0,0,B,0
22:49:13.178,->,550,8,10,0,0,0,0,0,0,30
22:49:13.212,->,541,8,2,0,0,0,0,0,0,1E
22:49:13.245,->,540,8,6,0,0,0,0,0,0,0
22:49:13.245,->,450,8,0,0,0,0,0,0,B,0
22:49:13.278,->,550,8,10,0,0,0,0,0,0,70
22:49:13.311,->,540,8,4,0,0,0,0,0,C,0
22:49:13.344,->,540,8,6,0,0,0,0,0,0,0
22:49:13.433,->,550,8,10,0,0,0,0,0,0,B0
22:49:13.433,->,540,8,2,0,0,4,11,0,2,A3
22:49:13.433,->,550,8,10,0,0,0,0,0,0,D0
22:49:13.433,->,540,8,6,0,0,0,0,0,0,0
22:49:13.473,->,550,8,10,0,0,0,0,0,0,30
22:49:13.480,->,540,8,2,0,0,4,11,0,2,A3
22:49:13.510,->,540,8,6,0,0,0,0,0,0,0
22:49:13.543,->,450,8,0,0,0,0,0,0,B,0
22:49:13.577,->,550,8,10,0,0,0,0,0,0,70
22:49:13.640,->,540,8,2,0,0,4,11,0,2,A3
22:49:13.640,->,540,8,6,0,0,0,0,0,0,0
22:49:13.640,->,450,8,0,0,0,0,0,0,B,0
22:49:13.665,->,550,8,10,0,0,0,0,0,0,B0
22:49:13.691,->,541,8,2,0,0,0,0,0,0,1F
22:49:13.742,->,540,8,6,0,0,0,0,0,0,0
22:49:13.742,->,450,8,0,0,0,0,0,0,B,0
22:49:13.775,->,550,8,10,0,0,0,0,0,0,30
22:49:13.808,->,541,8,2,0,0,0,0,0,0,1F
22:49:13.843,->,540,8,6,0,0,0,0,0,0,0
22:49:13.843,->,450,8,0,0,0,0,0,0,B,0
22:49:13.910,->,550,8,10,0,0,0,0,0,0,70
22:49:13.910,->,541,8,2,0,0,0,0,0,0,1F
22:49:13.951,->,540,8,6,0,0,0,0,0,0,0
22:49:13.951,->,450,8,0,0,0,0,0,0,B,0
22:49:13.974,->,550,8,10,0,0,0,0,0,0,B0
22:49:14.007,->,540,8,4,0,0,0,0,0,C,0
22:49:14.040,->,540,8,6,0,0,0,0,0,0,0
22:49:14.075,->,550,8,10,0,0,0,0,0,0,30
22:49:14.075,->,540,8,2,0,0,4,11,0,2,A3
22:49:14.136,->,550,8,10,0,0,0,0,0,0,50
22:49:14.136,->,540,8,6,0,0,0,0,0,0,0
22:49:14.182,->,550,8,10,0,0,0,0,0,0,70
22:49:14.182,->,540,8,2,0,0,4,11,0,2,A3
22:49:14.208,->,540,8,6,0,0,0,0,0,0,0
22:49:14.241,->,450,8,0,0,0,0,0,0,B,0
22:49:14.273,->,550,8,10,0,0,0,0,0,0,B0
22:49:14.307,->,540,8,2,0,0,4,11,0,2,A3
22:49:14.340,->,540,8,6,0,0,0,0,0,0,0
22:49:14.340,->,450,8,0,0,0,0,0,0,B,0
22:49:14.372,->,550,8,10,0,0,0,0,0,0,30
22:49:14.406,->,541,8,2,0,0,0,0,0,0,1F
22:49:14.438,->,540,8,6,0,0,0,0,0,0,0
22:49:14.438,->,450,8,0,0,0,0,0,0,B,0
22:49:14.471,->,550,8,10,0,0,0,0,0,0,70
22:49:14.504,->,541,8,2,0,0,0,0,0,0,1F
22:49:14.538,->,540,8,6,0,0,0,0,0,0,0
22:49:14.575,->,450,8,0,0,0,0,0,0,B,0
22:49:14.575,->,550,8,10,0,0,0,0,0,0,B0
22:49:14.609,->,541,8,2,0,0,0,0,0,0,1F
22:49:14.641,->,540,8,6,0,0,0,0,0,0,0
22:49:14.674,->,450,8,0,0,0,0,0,0,B,0
22:49:14.674,->,550,8,10,0,0,0,0,0,0,30
22:49:14.708,->,540,8,4,0,0,0,0,0,C,0
22:49:14.740,->,540,8,6,0,0,0,0,0,0,0
22:49:14.774,->,550,8,10,0,0,0,0,0,0,70
22:49:14.774,->,450,8,0,0,0,0,0,0,B,0
22:49:14.807,->,550,8,10,0,0,0,0,0,0,90
22:49:14.841,->,450,8,0,0,0,0,0,0,B,0
22:49:14.874,->,550,8,10,0,0,0,0,0,0,B0
22:49:14.907,->,540,8,6,0,0,0,0,0,0,0
22:49:14.907,->,550,8,10,0,0,0,0,0,0,D0
22:49:14.940,->,450,8,0,0,0,0,0,0,B,0
22:49:14.973,->,550,8,10,0,0,0,0,0,0,30
22:49:15.007,->,540,8,6,0,0,0,0,0,0,0
22:49:15.007,->,550,8,10,0,0,0,0,0,0,50
22:49:15.039,->,450,8,0,0,0,0,0,0,B,0
22:49:15.072,->,540,8,2,1,4F,4,1,0,2,A4
22:49:15.106,->,540,8,6,0,0,0,0,0,0,0
22:49:15.140,->,550,8,10,0,0,0,0,0,0,90
22:49:15.140,->,450,8,0,0,0,0,0,0,B,0
22:49:15.173,->,540,8,2,1,4F,4,11,0,2,A4
22:49:15.205,->,540,8,6,0,0,0,0,0,0,0
22:49:15.240,->,550,8,10,0,0,0,0,0,0,D0
22:49:15.274,->,450,8,0,0,0,0,0,0,B,0
22:49:15.274,->,540,8,4,0,0,0,0,0,D,0
22:49:15.307,->,540,8,6,0,0,0,0,0,0,0
22:49:15.340,->,550,8,10,0,0,0,0,0,0,50
22:49:15.373,->,450,8,0,0,0,0,0,0,B,0
22:49:15.373,->,540,8,4,0,0,0,0,0,B,0
22:49:15.407,->,540,8,6,0,0,0,0,0,0,0
22:49:15.440,->,550,8,10,0,0,0,0,0,0,90
22:49:15.474,->,450,8,0,0,0,0,0,0,B,0
22:49:15.474,->,540,8,4,0,0,0,0,0,7,0
22:49:15.507,->,550,8,10,0,0,0,0,0,0,D0
22:49:15.541,->,450,8,0,0,0,0,0,0,B,0
22:49:15.574,->,550,8,10,0,0,0,0,0,0,30
22:49:15.607,->,540,8,4,0,0,0,0,0,6,0
22:49:15.607,->,550,8,10,0,0,0,0,0,0,50
22:49:15.640,->,450,8,0,0,0,0,0,0,B,0
22:49:15.674,->,550,8,10,0,0,0,0,0,0,70
22:49:15.707,->,540,8,6,0,0,0,0,0,0,0
22:49:15.707,->,550,8,10,0,0,0,0,0,0,90
22:49:15.740,->,450,8,0,0,0,0,0,0,B,0
22:49:15.774,->,540,8,2,5,6B,4,11,0,2,A5
22:49:15.807,->,540,8,6,0,0,0,0,0,0,0
22:49:15.838,->,550,8,10,0,0,0,0,0,0,D0
22:49:15.838,->,450,8,0,0,0,0,0,0,B,0
22:49:15.871,->,540,8,2,5,C0,4,11,0,2,A5
22:49:15.905,->,540,8,6,0,0,0,0,0,0,0
22:49:15.941,->,550,8,10,0,0,0,0,0,0,50
22:49:15.941,->,450,8,0,0,0,0,0,0,B,0
22:49:15.971,->,540,8,4,0,B,0,0,0,8,0
22:49:16.004,->,540,8,6,0,0,0,0,0,0,0
22:49:16.037,->,550,8,10,0,0,0,0,0,0,90
22:49:16.070,->,450,8,0,0,0,0,0,0,B,0
22:49:16.070,->,540,8,4,0,B,0,0,0,8,0
22:49:16.103,->,540,8,6,0,0,0,0,0,0,0
22:49:16.137,->,550,8,10,0,0,0,0,0,0,D0
22:49:16.170,->,450,8,0,0,0,0,0,0,B,0
22:49:16.170,->,540,8,4,0,B,0,0,0,9,0
22:49:16.203,->,550,8,10,0,0,0,0,0,0,50
22:49:16.238,->,450,8,0,0,0,0,0,0,B,0
22:49:16.302,->,550,8,10,0,0,0,0,0,0,70
22:49:16.302,->,540,8,4,0,B,0,0,0,C,0
22:49:16.344,->,550,8,10,0,0,0,0,0,0,90
22:49:16.344,->,450,8,0,0,0,0,0,0,B,0
22:49:16.369,->,550,8,10,0,0,0,0,0,0,B0
22:49:16.402,->,540,8,6,0,0,0,0,0,0,0
22:49:16.435,->,550,8,10,0,0,0,0,0,0,D0
22:49:16.435,->,450,8,0,0,0,0,0,0,B,0
22:49:16.469,->,540,8,2,8,1,4,11,0,2,A5
22:49:16.510,->,540,8,6,0,0,0,0,0,0,0
22:49:16.510,->,550,8,10,0,0,0,0,0,0,50
22:49:16.548,->,450,8,0,0,0,0,0,0,B,0
22:49:16.580,->,540,8,2,8,67,4,11,0,2,A5
22:49:16.605,->,540,8,6,0,0,0,0,0,0,0
22:49:16.638,->,550,8,10,0,0,0,0,0,0,90
22:49:16.672,->,450,8,0,0,0,0,0,0,B,0
22:49:16.672,->,541,8,2,0,0,0,0,0,0,22
22:49:16.705,->,540,8,6,0,0,0,0,0,0,0
22:49:16.738,->,550,8,10,0,0,0,0,0,0,D0
22:49:16.772,->,450,8,0,0,0,0,0,0,B,0
22:49:16.772,->,540,8,4,0,B,0,0,0,C,0
22:49:16.805,->,540,8,6,0,0,0,0,0,0,0
22:49:16.838,->,550,8,10,0,0,0,0,0,0,50
22:49:16.872,->,450,8,0,0,0,0,0,0,B,0
22:49:16.872,->,540,8,4,0,B,0,0,0,C,0
22:49:16.905,->,450,8,0,0,0,0,0,0,B,0
22:49:16.939,->,550,8,10,0,0,0,0,0,0,90
22:49:16.973,->,450,8,0,0,0,0,0,0,B,0
22:49:16.973,->,540,8,4,0,18,0,0,0,D,0
22:49:17.005,->,550,8,10,0,0,0,0,0,0,D0
22:49:17.038,->,450,8,0,0,0,0,0,0,B,0
22:49:17.072,->,550,8,10,0,0,0,0,0,0,30
22:49:17.104,->,540,8,4,0,18,0,0,0,E,0
22:49:17.104,->,550,8,10,0,0,0,0,0,0,50
22:49:17.154,->,450,8,0,0,0,0,0,0,B,0
22:49:17.154,->,550,8,10,0,0,0,0,0,0,70
22:49:17.204,->,540,8,6,0,0,0,0,0,0,0
22:49:17.241,->,550,8,10,0,0,0,0,0,0,90
22:49:17.241,->,450,8,0,0,0,0,0,0,B,0
22:49:17.270,->,540,8,2,E,60,4,11,0,2,A4
22:49:17.303,->,540,8,6,0,0,0,0,0,0,0
22:49:17.336,->,550,8,10,0,0,0,0,0,0,D0
22:49:17.380,->,450,8,0,0,0,0,0,0,B,0
22:49:17.380,->,540,8,2,F,54,4,11,0,2,A4
22:49:17.412,->,540,8,6,0,0,0,0,0,0,0
22:49:17.434,->,550,8,10,0,0,0,0,0,0,50
22:49:17.469,->,450,8,0,0,0,0,0,0,B,0
22:49:17.469,->,540,8,4,0,18,0,0,0,11,0
22:49:17.515,->,540,8,6,0,0,0,0,0,0,0
22:49:17.534,->,550,8,10,0,0,0,0,0,0,90
22:49:17.567,->,550,8,10,0,0,0,0,0,0,B0
22:49:17.601,->,540,8,4,0,18,0,0,0,12,0
22:49:17.634,->,550,8,10,0,0,0,0,0,0,D0
22:49:17.634,->,450,8,0,0,0,0,0,0,B,0
22:49:17.667,->,550,8,10,0,0,0,0,0,0,30
22:49:17.701,->,540,8,6,0,0,0,0,0,0,0
22:49:17.734,->,550,8,10,0,0,0,0,0,0,50
22:49:17.771,->,450,8,0,0,0,0,0,0,B,0
22:49:17.771,->,540,8,2,13,B9,4,11,0,2,A4
22:49:17.801,->,540,8,6,0,0,0,0,0,0,0
22:49:17.844,->,550,8,10,0,0,0,0,0,0,90
22:49:17.844,->,450,8,0,0,0,0,0,0,B,0
22:49:17.866,->,540,8,2,15,3D,4,11,0,2,A4
22:49:17.900,->,540,8,6,0,0,0,0,0,0,0
22:49:17.938,->,550,8,10,0,0,0,0,0,0,D0
22:49:17.967,->,450,8,0,0,0,0,0,0,B,0
22:49:18.010,->,540,8,4,0,2D,0,0,0,1B,0
22:49:18.010,->,550,8,10,0,0,0,0,0,0,50
22:49:18.036,->,450,8,0,0,0,0,0,0,B,0
22:49:18.066,->,550,8,10,0,0,0,0,0,0,70
22:49:18.099,->,540,8,4,0,2D,0,0,0,1B,0
22:49:18.132,->,550,8,10,0,0,0,0,0,0,90
22:49:18.132,->,450,8,0,0,0,0,0,0,B,0
22:49:18.166,->,540,8,2,18,D2,4,11,0,2,A3
22:49:18.199,->,540,8,6,0,0,0,0,0,0,0
22:49:18.232,->,550,8,10,0,0,0,0,0,0,D0
22:49:18.266,->,450,8,0,0,0,0,0,0,B,0
22:49:18.266,->,540,8,2,19,B0,4,11,0,2,A2
22:49:18.299,->,540,8,6,0,0,0,0,0,0,0
22:49:18.332,->,550,8,10,0,0,0,0,0,0,50
22:49:18.365,->,450,8,0,0,0,0,0,0,B,0
22:49:18.399,->,540,8,4,0,2D,0,0,0,1B,0
22:49:18.399,->,540,8,6,0,0,0,0,0,0,0
22:49:18.432,->,550,8,10,0,0,0,0,0,0,90
22:49:18.466,->,550,8,10,0,0,0,0,0,0,B0
22:49:18.499,->,540,8,4,0,2D,0,0,0,1B,0
22:49:18.533,->,550,8,10,0,0,0,0,0,0,D0
22:49:18.533,->,450,8,0,0,0,0,0,0,B,0
22:49:18.578,->,550,8,10,0,0,0,0,0,0,30
22:49:18.623,->,540,8,6,0,0,0,0,0,0,0
22:49:18.623,->,550,8,10,0,0,0,0,0,0,50
22:49:18.640,->,450,8,0,0,0,0,0,0,B,0
22:49:18.666,->,540,8,2,1A,F4,4,11,0,2,A0
22:49:18.699,->,540,8,6,0,0,0,0,0,0,0
22:49:18.732,->,550,8,10,0,0,0,0,0,0,90
22:49:18.765,->,450,8,0,0,0,0,0,0,B,0
22:49:18.765,->,540,8,2,1B,8,4,11,0,2,A0
22:49:18.803,->,540,8,6,0,0,0,0,0,0,0
22:49:18.837,->,550,8,10,0,0,0,0,0,0,D0
22:49:18.884,->,450,8,0,0,0,0,0,0,B,0
22:49:18.884,->,540,8,4,0,2D,0,0,0,1A,0
22:49:18.903,->,540,8,6,0,0,0,0,0,0,0
22:49:18.935,->,550,8,10,0,0,0,0,0,0,50
22:49:18.969,->,550,8,10,0,0,0,0,0,0,70
22:49:19.002,->,540,8,4,0,44,0,0,0,1A,0
22:49:19.002,->,550,8,10,0,0,0,0,0,0,90
22:49:19.035,->,450,8,0,0,0,0,0,0,B,0
22:49:19.069,->,550,8,10,0,0,0,0,0,0,B0
22:49:19.102,->,540,8,6,0,0,0,0,0,0,0
22:49:19.135,->,550,8,10,0,0,0,0,0,0,D0
22:49:19.135,->,450,8,0,0,0,0,0,0,B,0
22:49:19.169,->,540,8,2,1B,5C,4,11,0,2,9E
22:49:19.202,->,540,8,6,0,0,0,0,0,0,0
22:49:19.235,->,550,8,10,0,0,0,0,0,0,50
22:49:19.269,->,450,8,0,0,0,0,0,0,B,0
22:49:19.269,->,540,8,2,1B,74,4,11,0,2,9D
22:49:19.302,->,540,8,6,0,0,0,0,0,0,0
22:49:19.335,->,550,8,10,0,0,0,0,0,0,90
22:49:19.368,->,450,8,0,0,0,0,0,0,B,0
22:49:19.403,->,540,8,4,0,44,0,0,0,1A,0
22:49:19.403,->,450,8,0,0,0,0,0,0,B,0
22:49:19.435,->,550,8,10,0,0,0,0,0,0,D0
22:49:19.468,->,550,8,10,0,0,0,0,0,0,30
22:49:19.502,->,540,8,4,0,44,0,0,0,1A,0
22:49:19.535,->,550,8,10,0,0,0,0,0,0,50
22:49:19.535,->,450,8,0,0,0,0,0,0,B,0
22:49:19.568,->,550,8,10,0,0,0,0,0,0,70
22:49:19.602,->,540,8,6,0,0,0,0,0,0,0
22:49:19.635,->,550,8,10,0,0,0,0,0,0,90
22:49:19.635,->,450,8,0,0,0,0,0,0,B,0
22:49:19.670,->,540,8,2,16,E4,4,11,0,2,9A
22:49:19.701,->,540,8,6,0,0,0,0,0,0,0
22:49:19.737,->,550,8,10,0,0,0,0,0,0,D0
22:49:19.768,->,450,8,0,0,0,0,0,0,B,0
22:49:19.768,->,541,8,2,0,0,0,0,0,0,0
22:49:19.812,->,540,8,6,0,0,0,0,0,0,0
22:49:19.834,->,550,8,10,0,0,0,0,0,0,50
22:49:19.868,->,450,8,0,0,0,0,0,0,B,0
22:49:19.910,->,540,8,4,0,44,0,0,0,19,0
22:49:19.910,->,540,8,6,0,0,0,0,0,0,0
22:49:19.936,->,550,8,10,0,0,0,0,0,0,90
22:49:19.967,->,450,8,0,0,0,0,0,0,B,0
22:49:20.000,->,540,8,4,0,3E,0,0,0,19,0
22:49:20.000,->,550,8,10,0,0,0,0,0,0,D0
22:49:20.034,->,450,8,0,0,0,0,0,0,B,0
22:49:20.067,->,550,8,10,0,0,0,0,0,0,30
22:49:20.103,->,540,8,4,0,3E,0,0,0,1B,0
22:49:20.134,->,550,8,10,0,0,0,0,0,0,50
22:49:20.134,->,450,8,0,0,0,0,0,0,B,0
22:49:20.171,->,540,8,2,17,9F,4,11,0,2,97
22:49:20.199,->,540,8,6,0,0,0,0,0,0,0
22:49:20.232,->,550,8,10,0,0,0,0,0,0,90
22:49:20.266,->,450,8,0,0,0,0,0,0,B,0
22:49:20.266,->,540,8,2,18,5E,4,11,0,2,97
22:49:20.299,->,540,8,6,0,0,0,0,0,0,0
22:49:20.332,->,550,8,10,0,0,0,0,0,0,D0
22:49:20.365,->,450,8,0,0,0,0,0,0,B,0
22:49:20.398,->,540,8,4,0,3E,0,0,0,1E,0
22:49:20.398,->,540,8,6,0,0,0,0,0,0,0
22:49:20.431,->,550,8,10,0,0,0,0,0,0,50
22:49:20.464,->,550,8,10,0,0,0,0,0,0,70
22:49:20.497,->,540,8,4,0,3E,0,0,0,1D,0
22:49:20.531,->,550,8,10,0,0,0,0,0,0,90
22:49:20.531,->,450,8,0,0,0,0,0,0,B,0
22:49:20.564,->,550,8,10,0,0,0,0,0,0,B0
22:49:20.597,->,540,8,6,0,0,0,0,0,0,0
22:49:20.630,->,550,8,10,0,0,0,0,0,0,D0
22:49:20.663,->,450,8,0,0,0,0,0,0,B,0
22:49:20.663,->,540,8,2,1A,D9,4,11,0,2,94
22:49:20.697,->,540,8,6,0,0,0,0,0,0,0
22:49:20.730,->,550,8,10,0,0,0,0,0,0,50
22:49:20.764,->,450,8,0,0,0,0,0,0,B,0
22:49:20.807,->,540,8,2,1B,75,4,11,0,2,94
22:49:20.807,->,540,8,6,0,0,0,0,0,0,0
22:49:20.833,->,550,8,10,0,0,0,0,0,0,90
22:49:20.864,->,450,8,0,0,0,0,0,0,B,0
22:49:20.897,->,540,8,4,0,3E,0,0,0,1E,0
22:49:20.897,->,550,8,10,0,0,0,0,0,0,D0
22:49:20.937,->,450,8,0,0,0,0,0,0,B,0
22:49:20.963,->,550,8,10,0,0,0,0,0,0,30
22:49:20.997,->,540,8,4,0,44,0,0,0,1E,0
22:49:21.031,->,550,8,10,0,0,0,0,0,0,50
22:49:21.073,->,450,8,0,0,0,0,0,0,B,0
22:49:21.073,->,550,8,10,0,0,0,0,0,0,70
22:49:21.097,->,540,8,6,0,0,0,0,0,0,0
22:49:21.130,->,550,8,10,0,0,0,0,0,0,90
22:49:21.163,->,450,8,0,0,0,0,0,0,B,0
22:49:21.163,->,540,8,2,1C,47,4,11,0,2,92
22:49:21.197,->,540,8,6,0,0,0,0,0,0,0
22:49:21.230,->,550,8,10,0,0,0,0,0,0,D0
22:49:21.263,->,450,8,0,0,0,0,0,0,B,0
22:49:21.297,->,541,8,2,0,0,0,0,0,0,0
22:49:21.297,->,540,8,6,0,0,0,0,0,0,0
22:49:21.330,->,550,8,10,0,0,0,0,0,0,50
22:49:21.365,->,450,8,0,0,0,0,0,0,B,0
22:49:21.397,->,540,8,4,0,44,0,0,0,14,0
22:49:21.397,->,540,8,6,0,0,0,0,0,0,0
22:49:21.429,->,550,8,10,0,0,0,0,0,0,90
22:49:21.463,->,450,8,0,0,0,0,0,0,B,0
22:49:21.496,->,540,8,4,0,44,0,0,0,13,0
22:49:21.529,->,550,8,10,0,0,0,0,0,0,D0
22:49:21.529,->,450,8,0,0,0,0,0,0,B,0
22:49:21.563,->,550,8,10,0,0,0,0,0,0,30
22:49:21.596,->,540,8,4,0,44,0,0,0,11,0
22:49:21.629,->,550,8,10,0,0,0,0,0,0,50
22:49:21.663,->,450,8,0,0,0,0,0,0,B,0
22:49:21.663,->,540,8,2,18,51,4,11,0,2,90
22:49:21.695,->,540,8,6,0,0,0,0,0,0,0
22:49:21.729,->,550,8,10,0,0,0,0,0,0,90
22:49:21.763,->,450,8,0,0,0,0,0,0,B,0
22:49:21.763,->,540,8,2,17,34,4,11,0,2,90
22:49:21.795,->,540,8,6,0,0,0,0,0,0,0
22:49:21.829,->,550,8,10,0,0,0,0,0,0,D0
22:49:21.862,->,450,8,0,0,0,0,0,0,B,0
22:49:21.895,->,540,8,4,0,44,0,0,0,D,0
22:49:21.929,->,540,8,6,0,0,0,0,0,0,0
22:49:21.929,->,550,8,10,0,0,0,0,0,0,50
22:49:21.963,->,450,8,0,0,0,0,0,0,B,0
22:49:21.995,->,540,8,4,0,31,0,0,0,B,0
22:49:22.029,->,550,8,10,0,0,0,0,0,0,90
22:49:22.029,->,450,8,0,0,0,0,0,0,B,0
22:49:22.062,->,550,8,10,0,0,0,0,0,0,B0
22:49:22.095,->,540,8,4,0,31,0,0,0,9,0
22:49:22.129,->,550,8,10,0,0,0,0,0,0,D0
22:49:22.164,->,450,8,0,0,0,0,0,0,B,0
22:49:22.164,->,550,8,10,0,0,0,0,0,0,30
22:49:22.197,->,540,8,6,0,0,0,0,0,0,0
22:49:22.229,->,550,8,10,0,0,0,0,0,0,50
22:49:22.261,->,450,8,0,0,0,0,0,0,B,0
22:49:22.261,->,540,8,2,F,88,4,11,0,2,8E
22:49:22.293,->,540,8,6,0,0,0,0,0,0,0
22:49:22.326,->,550,8,10,0,0,0,0,0,0,90
22:49:22.359,->,450,8,0,0,0,0,0,0,B,0
22:49:22.392,->,540,8,2,D,E8,4,11,0,2,8E
22:49:22.392,->,540,8,6,0,0,0,0,0,0,0
22:49:22.425,->,550,8,10,0,0,0,0,0,0,D0
